what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_16",1267294900078
java.vm.info,sysinfo,,,"mixed mode, sharing",1267294900078
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1267294900078
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267294900078
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267294900078
java.vm.specification.version,sysinfo,,,"1.0",1267294900078
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267294900078
java.vm.version,sysinfo,,,"14.2-b01",1267294900078
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1267294925553
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1267294925553
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1267294925568
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1267294925615
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1267294925849
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267294925912
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267294925927
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267294925958
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294930286
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294930614
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1267294932876
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294934483
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294934545
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1267294934873
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294935684
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267294935746
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1267294935965
