what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309388594
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267309388609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309388859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309430325
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267309430793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309432089
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309433524
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267309434101
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1267309434850
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1267309434897
